name,pos,proj,high,low
Jalen Tolbert,WR,61.4,85.0,45.9
Jalen Nailor,WR,59.1,84.9,38.2
Tre Tucker,WR,58.1,76.4,51.2
Troy Franklin,WR,57.9,107.8,37.6
Andrei Iosivas,WR,56.8,85.5,45.4
Brandin Cooks,WR,56.8,72.2,53.6
Jordan Whittington,WR,55.6,107.0,37.7
Diontae Johnson,WR,55.4,110.7,20.6
Marquez Valdes-Scantling,WR,54.8,98.9,20.0
Tory Horton,WR,54.3,85.2,27.6
Jalen Coker,WR,53.8,100.3,39.6
Dontayvion Wicks,WR,52.8,90.8,16.4
Noah Brown,WR,51.8,74.0,46.3
Christian Watson,WR,51.6,87.0,31.0
Adonai Mitchell,WR,50.7,80.3,43.0
Pat Bryant,WR,49.9,90.5,42.5
Dont'e Thornton Jr.,WR,49.8,97.6,40.6
Kayshon Boutte,WR,49.4,92.7,31.6
Elic Ayomanor,WR,47.4,100.1,31.9
K.J. Osborn,WR,45.7,59.0,9.0
Curtis Samuel,WR,45.5,62.6,29.2
Allen Lazard,WR,45.2,60.0,36.2
Jaylin Noel,WR,44.7,85.5,35.2
Anthony Miller,WR,43.3,55.4,5.3
Greg Dortch,WR,43.2,83.2,32.4
Van Jefferson,WR,41.0,82.3,31.1
Roman Wilson,WR,40.7,86.7,31.4
Malik Washington,WR,40.4,78.5,35.5
Devaughn Vele,WR,37.9,81.0,34.4
Tim Patrick,WR,37.4,58.2,31.5
Jalen McMillan,WR,36.8,58.7,20.6
KaVontae Turpin,WR,36.5,88.2,10.1
Parker Washington,WR,36.3,70.2,31.5
JuJu Smith-Schuster,WR,36.0,90.5,21.9
Jermaine Burton,WR,35.9,80.6,26.2
Tai Felton,WR,35.7,61.8,22.4
Chimere Dike,WR,35.1,63.1,28.6
Tyler Johnson,WR,33.7,44.3,4.3
Demarcus Robinson,WR,33.3,57.3,5.1
Luke McCaffrey,WR,28.7,58.5,23.4
A.T. Perry,WR,26.9,33.4,3.4
Skyy Moore,WR,26.6,33.6,3.6
Zay Jones,WR,25.7,53.5,17.9
Robert Woods,WR,25.0,45.6,22.9
Kalif Raymond,WR,24.7,48.6,17.0
KhaDarel Hodge,WR,23.6,37.4,19.6
Elijah Moore,WR,23.5,45.5,18.1
Jalen Royals,WR,22.8,61.5,6.2
Jalin Hyatt,WR,22.8,52.9,5.0
Kendrick Bourne,WR,22.6,73.0,4.7
Isaac TeSlaa,WR,22.3,56.8,5.8
Jahan Dotson,WR,20.8,39.9,13.9
Russell Gage Jr.,WR,20.6,27.0,7.0
Casey Washington,WR,19.6,29.0,6.1
Malachi Corley,WR,18.9,35.6,16.8
Jaylin Lane,WR,18.8,20.8,0.8
Michael Gallup,WR,18.7,41.8,5.4
Jake Bobo,WR,18.3,51.8,4.3
Arian Smith,WR,17.9,40.2,10.5
Jha'Quan Jackson,WR,17.7,69.8,0.2
Savion Williams,WR,17.5,30.1,15.9
Jamari Thrash,WR,17.1,40.4,0.0
Erik Ezukanma,WR,16.8,22.2,2.2
Xavier Restrepo,WR,16.7,26.7,6.7
Mack Hollins,WR,15.1,27.0,13.2
DeAndre Carter,WR,15.0,52.3,2.9
Chris Blair,WR,15.0,19.4,9.4
Xavier Hutchinson,WR,14.9,52.4,0.0
Olamide Zaccheaus,WR,14.9,29.0,13.6
Tylan Wallace,WR,14.2,31.1,3.4
Trey Palmer,WR,14.2,36.4,0.7
Simi Fehoko,WR,13.2,30.2,2.6
Tim Jones,WR,12.0,17.8,10.4
Sterling Shepard,WR,11.9,18.7,10.9
