simulation,pick_number,player_name,position,espn_rank
6,6,Brian Thomas Jr.,WR,14
6,7,Ja'Marr Chase,WR,1
6,8,Saquon Barkley,RB,4
6,9,Jahmyr Gibbs,RB,5
6,10,CeeDee Lamb,WR,6
6,11,Christian McCaffrey,RB,7
6,12,Derrick Henry,RB,11
6,13,Bucky Irving,RB,23
6,14,De'Von Achane,RB,18
6,15,Drake London,WR,16
6,16,Puka Nacua,WR,8
6,17,Trey McBride,TE,21
6,18,Lamar Jackson,QB,29
6,19,Ashton Jeanty,RB,12
6,20,Tee Higgins,WR,24
6,21,Jayden Daniels,QB,30
6,22,Amon-Ra St. Brown,WR,10
6,23,Mike Evans,WR,35
6,25,Malik Nabers,WR,9
6,26,Kyren Williams,RB,22
6,27,Joe Burrow,QB,39
6,28,Tyreek Hill,WR,25
6,29,Brock Bowers,TE,20
6,30,Terry McLaurin,WR,34
6,31,Josh Jacobs,RB,19
6,32,Chuba Hubbard,RB,41
6,34,Josh Allen,QB,28
6,35,Kenneth Walker III,RB,38
6,36,Jonathan Taylor,RB,17
6,37,James Cook,RB,33
6,38,Breece Hall,RB,45
6,39,Davante Adams,WR,26
6,40,Zay Flowers,WR,50
6,41,Jalen Hurts,QB,31
6,42,Chase Brown,RB,32
6,43,George Kittle,TE,40
6,44,Ladd McConkey,WR,27
6,45,TreVeyon Henderson,RB,44
6,46,Jaxon Smith-Njigba,WR,36
6,47,Marvin Harrison Jr.,WR,47
6,48,Omarion Hampton,RB,37
6,49,Jameson Williams,WR,56
6,50,Sam LaPorta,TE,61
6,51,Xavier Worthy,WR,46
6,53,Alvin Kamara,RB,42
6,54,James Conner,RB,43
6,55,DeVonta Smith,WR,57
6,56,Baker Mayfield,QB,63
6,57,DK Metcalf,WR,49
6,58,Travis Hunter,WR,66
6,59,Rashee Rice,WR,55
6,60,Jaylen Waddle,WR,59
6,62,Garrett Wilson,WR,48
6,63,D'Andre Swift,RB,52
6,64,Rome Odunze,WR,60
6,65,Courtland Sutton,WR,53
6,66,Jerry Jeudy,WR,65
6,67,Cooper Kupp,WR,75
6,68,Patrick Mahomes,QB,62
6,69,Tony Pollard,RB,68
6,70,Calvin Ridley,WR,51
6,71,DJ Moore,WR,54
6,72,T.J. Hockenson,TE,69
6,73,George Pickens,WR,58
6,74,Jakobi Meyers,WR,76
6,75,Aaron Jones,RB,71
6,76,Isiah Pacheco,RB,70
6,77,Deebo Samuel Sr.,WR,79
6,78,Kaleb Johnson,RB,80
6,79,Mark Andrews,TE,83
6,81,Kyler Murray,QB,88
6,82,David Montgomery,RB,67
6,83,Jordan Addison,WR,78
6,84,Tetairoa McMillan,WR,64
6,85,Tyrone Tracy Jr.,RB,81
6,86,Chris Olave,WR,77
6,87,Rhamondre Stevenson,RB,94
6,88,Jaylen Warren,RB,91
7,1,Bijan Robinson,RB,2
7,2,Malik Nabers,WR,9
7,3,Saquon Barkley,RB,4
7,4,Ja'Marr Chase,WR,1
7,6,Puka Nacua,WR,8
7,7,Justin Jefferson,WR,3
7,8,Nico Collins,WR,13
7,9,Jahmyr Gibbs,RB,5
7,10,Bucky Irving,RB,23
7,11,De'Von Achane,RB,18
7,12,CeeDee Lamb,WR,6
7,13,Derrick Henry,RB,11
7,14,Brian Thomas Jr.,WR,14
7,15,Amon-Ra St. Brown,WR,10
7,16,A.J. Brown,WR,15
7,17,Christian McCaffrey,RB,7
7,18,Kyren Williams,RB,22
7,19,Jonathan Taylor,RB,17
7,20,Ashton Jeanty,RB,12
7,21,Josh Jacobs,RB,19
7,22,Trey McBride,TE,21
7,23,Josh Allen,QB,28
7,25,Brock Bowers,TE,20
7,26,Jaxon Smith-Njigba,WR,36
7,27,Drake London,WR,16
7,28,Tee Higgins,WR,24
7,29,Chase Brown,RB,32
7,30,Terry McLaurin,WR,34
7,31,Tyreek Hill,WR,25
7,32,Chuba Hubbard,RB,41
7,34,Ladd McConkey,WR,27
7,35,James Cook,RB,33
7,36,Omarion Hampton,RB,37
7,37,Mike Evans,WR,35
7,38,Lamar Jackson,QB,29
7,39,Joe Burrow,QB,39
7,40,Breece Hall,RB,45
7,41,Davante Adams,WR,26
7,42,Jalen Hurts,QB,31
7,43,Kenneth Walker III,RB,38
7,44,George Kittle,TE,40
7,45,Jayden Daniels,QB,30
7,46,Alvin Kamara,RB,42
7,47,DJ Moore,WR,54
7,48,Marvin Harrison Jr.,WR,47
7,49,Zay Flowers,WR,50
7,50,James Conner,RB,43
7,51,DK Metcalf,WR,49
7,53,TreVeyon Henderson,RB,44
7,54,Calvin Ridley,WR,51
7,55,Garrett Wilson,WR,48
7,56,Jameson Williams,WR,56
7,57,George Pickens,WR,58
7,58,Baker Mayfield,QB,63
7,59,Courtland Sutton,WR,53
7,60,Jaylen Waddle,WR,59
7,62,Aaron Jones,RB,71
7,63,Xavier Worthy,WR,46
7,64,Rome Odunze,WR,60
7,65,Patrick Mahomes,QB,62
7,66,DeVonta Smith,WR,57
7,67,Rashee Rice,WR,55
7,68,D'Andre Swift,RB,52
7,69,Jerry Jeudy,WR,65
7,70,Sam LaPorta,TE,61
7,71,Tetairoa McMillan,WR,64
7,72,Isiah Pacheco,RB,70
7,73,Tony Pollard,RB,68
7,74,Travis Hunter,WR,66
7,75,Kaleb Johnson,RB,80
7,76,Tyrone Tracy Jr.,RB,81
7,77,T.J. Hockenson,TE,69
7,78,Matthew Golden,WR,74
7,79,David Njoku,TE,85
7,81,David Montgomery,RB,67
7,82,Mark Andrews,TE,83
7,83,Joe Mixon,RB,82
7,84,Jaylen Warren,RB,91
7,85,Bo Nix,QB,87
7,86,Tucker Kraft,TE,86
7,87,RJ Harvey,RB,72
7,88,Jordan Addison,WR,78
8,1,Jahmyr Gibbs,RB,5
8,2,Justin Jefferson,WR,3
8,3,Bijan Robinson,RB,2
8,4,Ashton Jeanty,RB,12
8,6,De'Von Achane,RB,18
8,7,Derrick Henry,RB,11
8,8,Ja'Marr Chase,WR,1
8,9,Saquon Barkley,RB,4
8,10,Trey McBride,TE,21
8,11,CeeDee Lamb,WR,6
8,12,Christian McCaffrey,RB,7
8,13,Malik Nabers,WR,9
8,14,Brian Thomas Jr.,WR,14
8,15,Kyren Williams,RB,22
8,16,Jonathan Taylor,RB,17
8,17,Josh Jacobs,RB,19
8,18,Davante Adams,WR,26
8,19,Puka Nacua,WR,8
8,20,A.J. Brown,WR,15
8,21,Amon-Ra St. Brown,WR,10
8,22,Brock Bowers,TE,20
8,23,Lamar Jackson,QB,29
8,25,Bucky Irving,RB,23
8,26,Nico Collins,WR,13
8,27,Tee Higgins,WR,24
8,28,Jayden Daniels,QB,30
8,29,Drake London,WR,16
8,30,Kenneth Walker III,RB,38
8,31,Joe Burrow,QB,39
8,32,Tyreek Hill,WR,25
8,34,James Cook,RB,33
8,35,Ladd McConkey,WR,27
8,36,Alvin Kamara,RB,42
8,37,Omarion Hampton,RB,37
8,38,Jalen Hurts,QB,31
8,39,Chase Brown,RB,32
8,40,Terry McLaurin,WR,34
8,41,Josh Allen,QB,28
8,42,Mike Evans,WR,35
8,43,D'Andre Swift,RB,52
8,44,James Conner,RB,43
8,45,Breece Hall,RB,45
8,46,DeVonta Smith,WR,57
8,47,Chuba Hubbard,RB,41
8,48,George Kittle,TE,40
8,49,TreVeyon Henderson,RB,44
8,50,Rome Odunze,WR,60
8,51,Jaxon Smith-Njigba,WR,36
8,53,Xavier Worthy,WR,46
8,54,Jameson Williams,WR,56
8,55,Garrett Wilson,WR,48
8,56,Marvin Harrison Jr.,WR,47
8,57,Sam LaPorta,TE,61
8,58,Patrick Mahomes,QB,62
8,59,Zay Flowers,WR,50
8,60,DK Metcalf,WR,49
8,62,George Pickens,WR,58
8,63,Calvin Ridley,WR,51
8,64,Rashee Rice,WR,55
8,65,Chris Godwin,WR,73
8,66,Courtland Sutton,WR,53
8,67,Tony Pollard,RB,68
8,68,Jaylen Waddle,WR,59
